id, first_name, last_name, in_senate, state, gender, party, fec_candidate_id, state_rank, district, govtrack_id
0, Lamar, Alexander, true, TN, M, R, S2TN00058, senior, N/A, 300002
1, Tammy, Baldwin, true, WI, F, D, S2WI00219, junior, N/A, 400013
2, John, Barrasso, true, WY, M, R, S6WY00068, junior, N/A, 412251
3, Michael, Bennet, true, CO, M, D, S0CO00211, senior, N/A, 412330
4, Richard, Blumenthal, true, CT, M, D, S0CT00177, senior, N/A, 412490
5, Roy, Blunt, true, MO, M, R, S0MO00183, junior, N/A, 400034
6, Cory, Booker, true, NJ, M, D, S4NJ00185, junior, N/A, 412598
7, John, Boozman, true, AR, M, R, S0AR00150, senior, N/A, 400040
8, Sherrod, Brown, true, OH, M, D, S6OH00163, senior, N/A, 400050
9, Richard, Burr, true, NC, M, R, S4NC00089, senior, N/A, 400054
10, Maria, Cantwell, true, WA, F, D, S8WA00194, junior, N/A, 300018
11, Shelley, Capito, true, WV, F, R, S4WV00159, junior, N/A, 400061
12, Benjamin, Cardin, true, MD, M, D, S6MD03177, senior, N/A, 400064
13, Thomas, Carper, true, DE, M, D, S8DE00079, senior, N/A, 300019
14, Bob, Casey, true, PA, M, D, S6PA00217, senior, N/A, 412246
15, Bill, Cassidy, true, LA, M, R, S4LA00107, senior, N/A, 412269
16, Thad, Cochran, true, MS, M, R, S8MS00055, senior, N/A, 300023
17, Susan, Collins, true, ME, F, R, S6ME00159, senior, N/A, 300025
18, Christopher, Coons, true, DE, M, D, S0DE00092, junior, N/A, 412390
19, Bob, Corker, true, TN, M, R, S6TN00216, junior, N/A, 412248
20, John, Cornyn, true, TX, M, R, S2TX00106, senior, N/A, 300027
21, Catherine, Cortez Masto, true, NV, F, D, S6NV00200, junior, N/A, 412681
22, Tom, Cotton, true, AR, M, R, S4AR00103, junior, N/A, 412508
23, Michael, Crapo, true, ID, M, R, S8ID00027, senior, N/A, 300030
24, Ted, Cruz, true, TX, M, R, S2TX00312, junior, N/A, 412573
25, Steve, Daines, true, MT, M, R, S2MT00096, junior, N/A, 412549
26, Joe, Donnelly, true, IN, M, D, S2IN00091, senior, N/A, 412205
27, Tammy, Duckworth, true, IL, F, D, S6IL00292, junior, N/A, 412533
28, Richard, Durbin, true, IL, M, D, S6IL00151, senior, N/A, 300038
29, Michael, Enzi, true, WY, M, R, S6WY00126, senior, N/A, 300041
30, Joni, Ernst, true, IA, F, R, S4IA00129, junior, N/A, 412667
31, Dianne, Feinstein, true, CA, F, D, S0CA00199, senior, N/A, 300043
32, Deb, Fischer, true, NE, F, R, S2NE00094, senior, N/A, 412556
33, Jeff, Flake, true, AZ, M, R, S2AZ00141, junior, N/A, 400134
34, Al, Franken, true, MN, M, D, S8MN00438, junior, N/A, 412378
35, Cory, Gardner, true, CO, M, R, S4CO00395, junior, N/A, 412406
36, Kirsten, Gillibrand, true, NY, F, D, S0NY00410, junior, N/A, 412223
37, Lindsey, Graham, true, SC, M, R, S0SC00149, senior, N/A, 300047
38, Charles, Grassley, true, IA, M, R, S0IA00028, senior, N/A, 300048
39, Kamala, Harris, true, CA, F, D, S6CA00584, junior, N/A, 412678
40, Margaret, Hassan, true, NH, F, D, S6NH00091, junior, N/A, 412680
41, Orrin, Hatch, true, UT, M, R, S6UT00063, senior, N/A, 300052
42, Martin, Heinrich, true, NM, M, D, S2NM00088, junior, N/A, 412281
43, Heidi, Heitkamp, true, ND, F, D, S2ND00099, junior, N/A, 412554
44, Dean, Heller, true, NV, M, R, S2NV00183, senior, N/A, 412218
45, Mazie, Hirono, true, HI, F, D, S2HI00106, junior, N/A, 412200
46, John, Hoeven, true, ND, M, R, S0ND00093, senior, N/A, 412494
47, Cindy, Hyde-Smith, true, MS, F, R, , junior, N/A, 412743
48, James, Inhofe, true, OK, M, R, S4OK00083, senior, N/A, 300055
49, Johnny, Isakson, true, GA, M, R, S6GA00119, senior, N/A, 400194
50, Ron, Johnson, true, WI, M, R, S0WI00197, senior, N/A, 412496
51, Doug, Jones, true, AL, M, D, S0AL00156, junior, N/A, 412741
52, Tim, Kaine, true, VA, M, D, S2VA00142, junior, N/A, 412582
53, John, Kennedy, true, LA, M, R, S4LA00065, junior, N/A, 412679
54, Angus, King, true, ME, M, I, S2ME00109, junior, N/A, 412545
55, Amy, Klobuchar, true, MN, F, D, S6MN00267, senior, N/A, 412242
56, Jon, Kyl, true, AZ, M, R, , junior, N/A, 300062
57, James, Lankford, true, OK, M, R, S4OK00232, junior, N/A, 412464
58, Patrick, Leahy, true, VT, M, D, S4VT00017, senior, N/A, 300065
59, Mike, Lee, true, UT, M, R, S0UT00165, junior, N/A, 412495
60, Joe, Manchin, true, WV, M, D, S0WV00090, senior, N/A, 412391
61, Edward, Markey, true, MA, M, D, S4MA00028, junior, N/A, 400253
62, John, McCain, true, AZ, M, R, S6AZ00019, senior, N/A, 300071
63, Claire, McCaskill, true, MO, F, D, S6MO00305, senior, N/A, 412243
64, Mitch, McConnell, true, KY, M, R, S2KY00012, senior, N/A, 300072
65, Robert, Menendez, true, NJ, M, D, S6NJ00289, senior, N/A, 400272
66, Jeff, Merkley, true, OR, M, D, S8OR00207, junior, N/A, 412325
67, Jerry, Moran, true, KS, M, R, S0KS00091, junior, N/A, 400284
68, Lisa, Murkowski, true, AK, F, R, S4AK00099, senior, N/A, 300075
69, Christopher, Murphy, true, CT, M, D, S2CT00132, junior, N/A, 412194
70, Patty, Murray, true, WA, F, D, S2WA00189, senior, N/A, 300076
71, Bill, Nelson, true, FL, M, D, S8FL00166, senior, N/A, 300078
72, Rand, Paul, true, KY, M, R, S0KY00156, junior, N/A, 412492
73, David, Perdue, true, GA, M, R, S4GA11285, junior, N/A, 412666
74, Gary, Peters, true, MI, M, D, S4MI00355, junior, N/A, 412305
75, Rob, Portman, true, OH, M, R, S0OH00133, junior, N/A, 400325
76, Jack, Reed, true, RI, M, D, S6RI00163, senior, N/A, 300081
77, Jim, Risch, true, ID, M, R, S8ID00092, junior, N/A, 412322
78, Pat, Roberts, true, KS, M, R, S6KS00080, senior, N/A, 300083
79, Mike, Rounds, true, SD, M, R, S4SD00049, junior, N/A, 412669
80, Marco, Rubio, true, FL, M, R, S0FL00338, junior, N/A, 412491
81, Bernard, Sanders, true, VT, M, I, S4VT00033, junior, N/A, 400357
82, Ben, Sasse, true, NE, M, R, S4NE00090, junior, N/A, 412671
83, Brian, Schatz, true, HI, M, D, S4HI00136, senior, N/A, 412507
84, Charles, Schumer, true, NY, M, D, S8NY00082, senior, N/A, 300087
85, Tim, Scott, true, SC, M, R, S4SC00240, junior, N/A, 412471
86, Jeff, Sessions, true, AL, M, R, S6AL00195, , N/A, 300088
87, Jeanne, Shaheen, true, NH, F, D, S0NH00219, senior, N/A, 412323
88, Richard, Shelby, true, AL, M, R, S6AL00013, senior, N/A, 300089
89, Tina, Smith, true, MN, F, D, S8MN00578, junior, N/A, 412742
90, Debbie, Stabenow, true, MI, F, D, S8MI00281, senior, N/A, 300093
91, Luther, Strange, true, AL, M, R, S8AL00308, junior, N/A, 412734
92, Dan, Sullivan, true, AK, M, R, S4AK00214, junior, N/A, 412665
93, Jon, Tester, true, MT, M, D, S6MT00162, senior, N/A, 412244
94, John, Thune, true, SD, M, R, S2SD00068, senior, N/A, 400546
95, Thom, Tillis, true, NC, M, R, S4NC00162, junior, N/A, 412668
96, Patrick, Toomey, true, PA, M, R, S4PA00121, junior, N/A, 400408
97, Tom, Udall, true, NM, M, D, S8NM00184, senior, N/A, 400413
98, Chris, Van Hollen, true, MD, M, D, S6MD03441, junior, N/A, 400415
99, Mark, Warner, true, VA, M, D, S6VA00093, senior, N/A, 412321
100, Elizabeth, Warren, true, MA, F, D, S2MA00170, senior, N/A, 412542
101, Sheldon, Whitehouse, true, RI, M, D, S6RI00221, junior, N/A, 412247
102, Roger, Wicker, true, MS, M, R, S8MS00196, junior, N/A, 400432
103, Ron, Wyden, true, OR, M, D, S6OR00110, senior, N/A, 300100
104, Todd, Young, true, IN, M, R, S6IN00191, junior, N/A, 412428
105, Ralph, Abraham, false, LA, M, R, H4LA05221, N/A, 5, 412630
106, Alma, Adams, false, NC, F, D, H4NC12100, N/A, 12, 412607
107, Robert, Aderholt, false, AL, M, R, H6AL04098, N/A, 4, 400004
108, Pete, Aguilar, false, CA, M, D, H2CA31125, N/A, 31, 412615
109, Rick, Allen, false, GA, M, R, H2GA12121, N/A, 12, 412625
110, Justin, Amash, false, MI, M, R, H0MI03126, N/A, 3, 412438
111, Mark, Amodei, false, NV, M, R, H2NV02395, N/A, 2, 412500
112, Jodey, Arrington, false, TX, M, R, H6TX19099, N/A, 19, 412726
113, Brian, Babin, false, TX, M, R, H6TX02079, N/A, 36, 412655
114, Don, Bacon, false, NE, M, R, H6NE02125, N/A, 2, 412713
115, Troy, Balderson, false, OH, M, R, , N/A, 12, 412747
116, Jim, Banks, false, IN, M, R, H6IN03229, N/A, 3, 412702
117, Lou, Barletta, false, PA, M, R, H2PA11098, N/A, 11, 412469
118, Andy, Barr, false, KY, M, R, H0KY06104, N/A, 6, 412541
119, Nanette, Barragán, false, CA, F, D, H6CA44103, N/A, 44, 412687
120, Joe, Barton, false, TX, M, R, H4TX06117, N/A, 6, 400018
121, Karen, Bass, false, CA, F, D, H0CA33117, N/A, 37, 412404
122, Joyce, Beatty, false, OH, F, D, H2OH03125, N/A, 3, 412565
123, Xavier, Becerra, false, CA, M, D, H2CA30143, N/A, 34, 400021
124, Ami, Bera, false, CA, M, D, H0CA03078, N/A, 7, 412512
125, Jack, Bergman, false, MI, M, R, H6MI01226, N/A, 1, 412709
126, Donald, Beyer, false, VA, M, D, H4VA08224, N/A, 8, 412657
127, Andy, Biggs, false, AZ, M, R, H6AZ05083, N/A, 5, 412683
128, Gus, Bilirakis, false, FL, M, R, H6FL09070, N/A, 12, 412250
129, Sanford, Bishop, false, GA, M, D, H2GA02031, N/A, 2, 400030
130, Mike, Bishop, false, MI, M, R, H4MI08135, N/A, 8, 412635
131, Rob, Bishop, false, UT, M, R, H2UT01094, N/A, 1, 400029
132, Diane, Black, false, TN, F, R, H0TN06257, N/A, 6, 412478
133, Marsha, Blackburn, false, TN, F, R, H2TN06030, N/A, 7, 400032
134, Rod, Blum, false, IA, M, R, H2IA01055, N/A, 1, 412627
135, Earl, Blumenauer, false, OR, M, D, H6OR03064, N/A, 3, 400033
136, Lisa, Blunt Rochester, false, DE, F, D, H6DE00206, N/A, At-Large, 412689
137, Suzanne, Bonamici, false, OR, F, D, H2OR01133, N/A, 1, 412501
138, Madeleine, Bordallo, false, GU, F, D, H2GU00033, N/A, At-Large, 400041
139, Mike, Bost, false, IL, M, R, H4IL12060, N/A, 12, 412629
140, Brendan, Boyle, false, PA, M, D, H4PA13199, N/A, 13, 412652
141, Kevin, Brady, false, TX, M, R, H6TX08100, N/A, 8, 400046
142, Robert, Brady, false, PA, M, D, H8PA01153, N/A, 1, 400047
143, David, Brat, false, VA, M, R, H4VA07143, N/A, 7, 412605
144, Jim, Bridenstine, false, OK, M, R, H2OK01143, N/A, 1, 412567
145, Susan, Brooks, false, IN, F, R, H2IN05082, N/A, 5, 412539
146, Mo, Brooks, false, AL, M, R, H0AL05163, N/A, 5, 412395
147, Anthony, Brown, false, MD, M, D, H6MD04209, N/A, 4, 412707
148, Julia, Brownley, false, CA, F, D, H2CA00120, N/A, 26, 412516
149, Vern, Buchanan, false, FL, M, R, H6FL13148, N/A, 16, 412196
150, Ken, Buck, false, CO, M, R, S0CO00237, N/A, 4, 412619
151, Larry, Bucshon, false, IN, M, R, H0IN08114, N/A, 8, 412427
152, Ted, Budd, false, NC, M, R, H6NC13129, N/A, 13, 412712
153, Michael, Burgess, false, TX, M, R, H2TX26093, N/A, 26, 400052
154, Cheri, Bustos, false, IL, F, D, H2IL17071, N/A, 17, 412537
155, G., Butterfield, false, NC, M, D, H4NC01046, N/A, 1, 400616
156, Bradley, Byrne, false, AL, M, R, H4AL01123, N/A, 1, 412601
157, Ken, Calvert, false, CA, M, R, H2CA37023, N/A, 42, 400057
158, Michael, Capuano, false, MA, M, D, H8MA08071, N/A, 7, 400063
159, Salud, Carbajal, false, CA, M, D, H6CA24303, N/A, 24, 412686
160, Tony, Cárdenas, false, CA, M, D, H2CA28113, N/A, 29, 412517
161, André, Carson, false, IN, M, D, H8IN07184, N/A, 7, 412258
162, John, Carter, false, TX, M, R, H2TX31044, N/A, 31, 400068
163, Buddy, Carter, false, GA, M, R, H4GA01039, N/A, 1, 412622
164, Matt, Cartwright, false, PA, M, D, H2PA17079, N/A, 17, 412571
165, Kathy, Castor, false, FL, F, D, H6FL11126, N/A, 14, 412195
166, Joaquín, Castro, false, TX, M, D, H2TX35011, N/A, 20, 412576
167, Steven, Chabot, false, OH, M, R, H8OH01043, N/A, 1, 400071
168, Jason, Chaffetz, false, UT, M, R, H8UT03089, N/A, 3, 412270
169, Liz, Cheney, false, WY, F, R, H6WY00159, N/A, At-Large, 412732
170, Judy, Chu, false, CA, F, D, H0CA32101, N/A, 27, 412379
171, David, Cicilline, false, RI, M, D, H0RI01073, N/A, 1, 412470
172, Katherine, Clark, false, MA, F, D, H4MA05084, N/A, 5, 412600
173, Yvette, Clarke, false, NY, F, D, H4NY11138, N/A, 9, 412221
174, William, Clay, false, MO, M, D, H0MO01066, N/A, 1, 400074
175, Emanuel, Cleaver, false, MO, M, D, H4MO05234, N/A, 5, 400639
176, Michael, Cloud, false, TX, M, R, , N/A, 27, 412746
177, James, Clyburn, false, SC, M, D, H2SC02042, N/A, 6, 400075
178, Mike, Coffman, false, CO, M, R, H8CO06138, N/A, 6, 412271
179, Steve, Cohen, false, TN, M, D, H6TN09068, N/A, 9, 412236
180, Tom, Cole, false, OK, M, R, H2OK04055, N/A, 4, 400077
181, Doug, Collins, false, GA, M, R, H2GA09150, N/A, 9, 412531
182, Chris, Collins, false, NY, M, R, H8NY29032, N/A, 27, 412563
183, James, Comer, false, KY, M, R, H6KY01110, N/A, 1, 412676
184, Barbara, Comstock, false, VA, F, R, H4VA10089, N/A, 10, 412658
185, K., Conaway, false, TX, M, R, H4TX19136, N/A, 11, 400655
186, Gerald, Connolly, false, VA, M, D, H8VA11062, N/A, 11, 412272
187, John, Conyers, false, MI, M, D, H6MI01028, N/A, 13, 400080
188, Paul, Cook, false, CA, M, R, H2CA08164, N/A, 8, 412513
189, Jim, Cooper, false, TN, M, D, H2TN05131, N/A, 5, 400081
190, J., Correa, false, CA, M, D, H6CA46116, N/A, 46, 412688
191, Jim, Costa, false, CA, M, D, H4CA20082, N/A, 16, 400618
192, Ryan, Costello, false, PA, M, R, H0PA06076, N/A, 6, 412651
193, Joe, Courtney, false, CT, M, D, H2CT02112, N/A, 2, 412193
194, Kevin, Cramer, false, ND, M, R, H0ND01026, N/A, At-Large, 412555
195, Rick, Crawford, false, AR, M, R, H0AR01083, N/A, 1, 412400
196, Charlie, Crist, false, FL, M, D, H6FL13205, N/A, 13, 412697
197, Joseph, Crowley, false, NY, M, D, H8NY07046, N/A, 14, 400087
198, Henry, Cuellar, false, TX, M, D, H2TX23082, N/A, 28, 400657
199, John, Culberson, false, TX, M, R, H0TX07055, N/A, 7, 400089
200, Elijah, Cummings, false, MD, M, D, H6MD07160, N/A, 7, 400090
201, Carlos, Curbelo, false, FL, M, R, H4FL26038, N/A, 26, 412621
202, John, Curtis, false, UT, M, R, , N/A, 3, 412740
203, Warren, Davidson, false, OH, M, R, H6OH08315, N/A, 8, 412675
204, Susan, Davis, false, CA, F, D, H0CA49055, N/A, 53, 400097
205, Rodney, Davis, false, IL, M, R, H2IL13120, N/A, 13, 412536
206, Danny, Davis, false, IL, M, D, H4IL07037, N/A, 7, 400093
207, Peter, DeFazio, false, OR, M, D, H6OR04047, N/A, 4, 400100
208, Diana, DeGette, false, CO, F, D, H6CO01141, N/A, 1, 400101
209, John, Delaney, false, MD, M, D, H2MD06195, N/A, 6, 412544
210, Rosa, DeLauro, false, CT, F, D, H0CT03072, N/A, 3, 400103
211, Suzan, DelBene, false, WA, F, D, H0WA08046, N/A, 1, 412505
212, Val, Demings, false, FL, F, D, H2FL08063, N/A, 10, 412696
213, Jeffrey, Denham, false, CA, M, R, H0CA19173, N/A, 10, 412403
214, Charlie, Dent, false, PA, M, R, H4PA15087, N/A, 15, 400648
215, Ron, DeSantis, false, FL, M, R, H2FL00292, N/A, 6, 412526
216, Mark, DeSaulnier, false, CA, M, D, H0CA10073, N/A, 11, 412613
217, Scott, DesJarlais, false, TN, M, R, H0TN04195, N/A, 4, 412477
218, Ted, Deutch, false, FL, M, D, H0FL19080, N/A, 22, 412385
219, Mario, Diaz-Balart, false, FL, M, R, H2FL25018, N/A, 25, 400108
220, Debbie, Dingell, false, MI, F, D, H4MI12079, N/A, 12, 412637
221, Lloyd, Doggett, false, TX, M, D, H4TX10028, N/A, 35, 400111
222, Daniel, Donovan, false, NY, M, R, H6NY11174, N/A, 11, 412672
223, Mike, Doyle, false, PA, M, D, H4PA18131, N/A, 14, 400114
224, Sean, Duffy, false, WI, M, R, H0WI07051, N/A, 7, 412488
225, John, Duncan, false, TN, M, R, H8TN02069, N/A, 2, 400116
226, Jeffrey, Duncan, false, SC, M, R, H0SC03077, N/A, 3, 412472
227, Neal, Dunn, false, FL, M, R, H6FL02208, N/A, 2, 412691
228, Keith, Ellison, false, MN, M, D, H6MN05183, N/A, 5, 412215
229, Tom, Emmer, false, MN, M, R, H4MN06087, N/A, 6, 412639
230, Eliot, Engel, false, NY, M, D, H8NY19058, N/A, 16, 400122
231, Anna, Eshoo, false, CA, F, D, H8CA12098, N/A, 18, 400124
232, Adriano, Espaillat, false, NY, M, D, H2NY13096, N/A, 13, 412718
233, Ron, Estes, false, KS, M, R, H8KS04112, N/A, 4, 412735
234, Elizabeth, Esty, false, CT, F, D, H2CT05131, N/A, 5, 412524
235, Dwight, Evans, false, PA, M, D, H6PA02171, N/A, 2, 412677
236, Blake, Farenthold, false, TX, M, R, H0TX27061, N/A, 27, 412482
237, John, Faso, false, NY, M, R, H6NY19169, N/A, 19, 412719
238, A., Ferguson, false, GA, M, R, H6GA03113, N/A, 3, 412700
239, Brian, Fitzpatrick, false, PA, M, R, H6PA08277, N/A, 8, 412721
240, Chuck, Fleischmann, false, TN, M, R, H0TN03254, N/A, 3, 412476
241, Bill, Flores, false, TX, M, R, H0TX17104, N/A, 17, 412480
242, Jeff, Fortenberry, false, NE, M, R, H4NE01064, N/A, 1, 400640
243, Bill, Foster, false, IL, M, D, H8IL14067, N/A, 11, 412257
244, Virginia, Foxx, false, NC, F, R, H4NC05146, N/A, 5, 400643
245, Lois, Frankel, false, FL, F, D, H2FL14053, N/A, 21, 412529
246, Trent, Franks, false, AZ, M, R, H4AZ04024, N/A, 8, 400141
247, Rodney, Frelinghuysen, false, NJ, M, R, H2NJ05014, N/A, 11, 400142
248, Marcia, Fudge, false, OH, F, D, H8OH11141, N/A, 11, 412327
249, Tulsi, Gabbard, false, HI, F, D, H2HI02508, N/A, 2, 412532
250, Matt, Gaetz, false, FL, M, R, H6FL01119, N/A, 1, 412690
251, Mike, Gallagher, false, WI, M, R, H6WI08155, N/A, 8, 412731
252, Ruben, Gallego, false, AZ, M, D, H4AZ07043, N/A, 7, 412612
253, John, Garamendi, false, CA, M, D, H0CA10149, N/A, 3, 412382
254, Thomas, Garrett, false, VA, M, R, H6VA05142, N/A, 5, 412729
255, Greg, Gianforte, false, MT, M, R, H8MT01182, N/A, At-Large, 412736
256, Bob, Gibbs, false, OH, M, R, H0OH18077, N/A, 7, 412463
257, Louie, Gohmert, false, TX, M, R, H4TX04039, N/A, 1, 400651
258, Jimmy, Gomez, false, CA, M, D, H8CA34266, N/A, 34, 412739
259, Vicente, Gonzalez, false, TX, M, D, H6TX15162, N/A, 15, 412725
260, Jenniffer, González-Colón, false, PR, F, R, H6PR00082, N/A, At-Large, 412723
261, Robert, Goodlatte, false, VA, M, R, H2VA06115, N/A, 6, 400154
262, Paul, Gosar, false, AZ, M, R, H0AZ01259, N/A, 4, 412397
263, Josh, Gottheimer, false, NJ, M, D, H6NJ05171, N/A, 5, 412714
264, Trey, Gowdy, false, SC, M, R, H0SC04257, N/A, 4, 412473
265, Kay, Granger, false, TX, F, R, H6TX12060, N/A, 12, 400157
266, Garret, Graves, false, LA, M, R, H4LA06153, N/A, 6, 412631
267, Sam, Graves, false, MO, M, R, H0MO06073, N/A, 6, 400158
268, Tom, Graves, false, GA, M, R, H0GA09030, N/A, 14, 412388
269, Al, Green, false, TX, M, D, H4TX09095, N/A, 9, 400653
270, Gene, Green, false, TX, M, D, H2TX29030, N/A, 29, 400160
271, Morgan, Griffith, false, VA, M, R, H0VA09055, N/A, 9, 412485
272, Raúl, Grijalva, false, AZ, M, D, H2AZ07070, N/A, 3, 400162
273, Glenn, Grothman, false, WI, M, R, H4WI06048, N/A, 6, 412661
274, Brett, Guthrie, false, KY, M, R, H8KY02031, N/A, 2, 412278
275, Luis, Gutiérrez, false, IL, M, D, H2IL08039, N/A, 4, 400163
276, Colleen, Hanabusa, false, HI, F, D, H2HI02110, N/A, 1, 412418
